event_date,channel,cpc
2023-01-01,Affiliate,0.26376
2023-01-06,Affiliate,0.534117647058824
2023-01-09,Affiliate,0.262112676056338
2023-01-10,Affiliate,0.34945652173913
2023-01-17,Affiliate,0.746823529411765
2023-01-28,Affiliate,0.300564399421129
2023-02-02,Affiliate,0.189438943894389
2023-02-04,Affiliate,0.695328798185941
2023-02-07,Affiliate,0.291346112469437
2023-02-08,Affiliate,0.411143695014663
2023-02-09,Affiliate,0.244072398190045
2023-02-10,Affiliate,0.402462686567164
2023-02-13,Affiliate,0.255614973262032
2023-02-16,Affiliate,0.553055555555556
2023-02-18,Affiliate,0.383892944038929
2023-02-20,Affiliate,0.169682819945541
2023-02-22,Affiliate,0.39558904109589
2023-03-09,Affiliate,0.13789046653144
2023-03-10,Affiliate,0.181724845995893
2023-03-11,Affiliate,0.324596273291925
2023-03-13,Affiliate,0.138561797752809
2023-03-18,Affiliate,0.345642201834862
2023-03-24,Affiliate,0.506875
2023-03-25,Affiliate,0.47783950617284
2023-03-29,Affiliate,0.218480662983425
2023-03-30,Affiliate,0.24421568627451
2023-04-03,Affiliate,0.461592039800995
2023-04-07,Affiliate,0.375224646983312
2023-04-08,Affiliate,0.3075
2023-04-09,Affiliate,0.47527027027027
2023-04-14,Affiliate,0.433540145985401
2023-04-16,Affiliate,0.240589972068735
2023-04-21,Affiliate,0.237922349229389
2023-04-28,Affiliate,0.453518518518519
2023-05-05,Affiliate,0.1386
2023-05-06,Affiliate,0.365972095004792
2023-05-09,Affiliate,0.214225941422594
2023-05-11,Affiliate,0.423784933908821
2023-05-12,Affiliate,0.401495601173021
2023-05-14,Affiliate,0.195020408163265
2023-05-19,Affiliate,0.315783394128887
2023-05-21,Affiliate,0.236359832635983
2023-05-24,Affiliate,0.553934426229508
2023-05-25,Affiliate,0.350686274509804
2023-06-02,Affiliate,0.357222222222222
2023-06-16,Affiliate,0.147612732095491
2023-06-21,Affiliate,0.669247311827957
2023-06-23,Affiliate,0.316380952380952
2023-06-26,Affiliate,0.136019230769231
2023-07-03,Affiliate,0.375266272189349
2023-07-04,Affiliate,0.296837349397591
2023-07-10,Affiliate,0.630738255033557
2023-07-12,Affiliate,0.305656353596209
2023-07-14,Affiliate,0.172334594745495
2023-07-15,Affiliate,0.258066914498141
2023-07-16,Affiliate,0.183650793650794
2023-07-24,Affiliate,0.212966101694915
2023-07-31,Affiliate,0.193419689119171
2023-08-03,Affiliate,0.347357848799898
2023-08-04,Affiliate,0.356421052631579
2023-08-11,Affiliate,0.416260162601626
2023-08-14,Affiliate,0.338888888888889
2023-08-18,Affiliate,0.301079812206573
2023-08-19,Affiliate,0.283329687417638
2023-08-22,Affiliate,0.687884191102734
2023-08-24,Affiliate,0.205461538461539
2023-08-26,Affiliate,0.274798376683269
2023-08-27,Affiliate,0.576616541353384
2023-08-31,Affiliate,0.252132777777778
2023-09-01,Affiliate,0.196642857142857
2023-09-10,Affiliate,0.406869158878505
2023-09-15,Affiliate,0.170743243243243
2023-09-19,Affiliate,0.235877192982456
2023-09-23,Affiliate,0.175851351351352
2023-09-24,Affiliate,0.286525423728814
2023-09-26,Affiliate,0.227061403508772
2023-09-28,Affiliate,0.225291479820628
2023-09-30,Affiliate,1.07261904761905
2023-10-02,Affiliate,0.211393442622951
2023-10-10,Affiliate,0.213378378378378
2023-10-19,Affiliate,0.278507462686567
2023-10-22,Affiliate,0.477869871529217
2023-10-23,Affiliate,0.23888
2023-10-24,Affiliate,0.761081081081081
2023-10-27,Affiliate,0.742452830188679
2023-10-28,Affiliate,0.279380530973451
2023-10-30,Affiliate,0.555773195876289
2023-11-02,Affiliate,0.52696
2023-11-03,Affiliate,0.632792792792793
2023-11-04,Affiliate,0.602116666666667
2023-11-07,Affiliate,0.259045643153527
2023-11-08,Affiliate,0.314012972363226
2023-11-10,Affiliate,0.207878787878788
2023-11-13,Affiliate,0.481477832512315
2023-11-21,Affiliate,0.283455882352941
2023-11-22,Affiliate,0.30020725388601
2023-11-23,Affiliate,0.386216216216216
2023-11-24,Affiliate,0.207549668874172
2023-11-26,Affiliate,0.6646875
