event_date,channel,cvr
2023-01-01,Affiliate,0.026
2023-01-06,Affiliate,0.0588235294117647
2023-01-09,Affiliate,0.107981220657277
2023-01-10,Affiliate,0.0869565217391304
2023-01-17,Affiliate,0.0941176470588235
2023-01-22,Affiliate,0.0652173913043478
2023-01-28,Affiliate,0.0810419681620839
2023-02-02,Affiliate,0.0726072607260726
2023-02-04,Affiliate,0.0734126984126984
2023-02-07,Affiliate,0.0643374083129585
2023-02-08,Affiliate,0.202346041055718
2023-02-09,Affiliate,0.00452488687782806
2023-02-10,Affiliate,0.156716417910448
2023-02-13,Affiliate,0.0962566844919786
2023-02-16,Affiliate,0.12037037037037
2023-02-18,Affiliate,0.0194647201946472
2023-02-20,Affiliate,0.0243646471522578
2023-02-22,Affiliate,0.0958904109589041
2023-03-09,Affiliate,0.105476673427992
2023-03-10,Affiliate,0.0369609856262834
2023-03-11,Affiliate,0.0434782608695652
2023-03-13,Affiliate,0.0943820224719101
2023-03-18,Affiliate,0.0458715596330275
2023-03-24,Affiliate,0.111111111111111
2023-03-25,Affiliate,0.0246913580246914
2023-03-29,Affiliate,0.0414364640883978
2023-03-30,Affiliate,0.0686274509803922
2023-04-03,Affiliate,0.0398009950248756
2023-04-07,Affiliate,0.086007702182285
2023-04-08,Affiliate,0.0523255813953488
2023-04-09,Affiliate,0.0675675675675676
2023-04-14,Affiliate,0.0802919708029197
2023-04-16,Affiliate,0.0768210982249478
2023-04-21,Affiliate,0.0705368572782163
2023-04-28,Affiliate,0.0972222222222222
2023-05-05,Affiliate,0.056
2023-05-06,Affiliate,0.0642027904995207
2023-05-09,Affiliate,0.100418410041841
2023-05-11,Affiliate,0.106946317777179
2023-05-12,Affiliate,0.205278592375367
2023-05-14,Affiliate,0.0816326530612245
2023-05-19,Affiliate,0.0634531874240056
2023-05-21,Affiliate,0.0545163672163426
2023-05-24,Affiliate,0.0491803278688525
2023-05-25,Affiliate,0.0392156862745098
2023-06-02,Affiliate,0.0617283950617284
2023-06-16,Affiliate,0.143236074270557
2023-06-21,Affiliate,0.0430107526881721
2023-06-23,Affiliate,0.0857142857142857
2023-06-26,Affiliate,0.0826923076923077
2023-07-03,Affiliate,0.0650887573964497
2023-07-04,Affiliate,0.0281444248330903
2023-07-10,Affiliate,0.0939597315436242
2023-07-12,Affiliate,0.077182845667208
2023-07-14,Affiliate,0.0344381029188251
2023-07-15,Affiliate,0.12453531598513
2023-07-16,Affiliate,0.0674603174603175
2023-07-17,Affiliate,0.0989010989010989
2023-07-24,Affiliate,0.0508474576271187
2023-07-31,Affiliate,0.0673575129533679
2023-08-03,Affiliate,0.0541650622513158
2023-08-04,Affiliate,0.0947368421052632
2023-08-11,Affiliate,0.040650406504065
2023-08-14,Affiliate,0.0512820512820513
2023-08-18,Affiliate,0.0704225352112676
2023-08-19,Affiliate,0.138204364556428
2023-08-22,Affiliate,0.0368646957358899
2023-08-24,Affiliate,0.0538461538461539
2023-08-26,Affiliate,0.0256779192030991
2023-08-27,Affiliate,0.037593984962406
2023-08-31,Affiliate,0.10125
2023-09-01,Affiliate,0.107142857142857
2023-09-10,Affiliate,0.097280472903801
2023-09-15,Affiliate,0.0743243243243243
2023-09-19,Affiliate,0.192982456140351
2023-09-23,Affiliate,0.113423423423423
2023-09-24,Affiliate,0.0677966101694915
2023-09-26,Affiliate,0.0614035087719298
2023-09-28,Affiliate,0.147982062780269
2023-09-30,Affiliate,0.119047619047619
2023-10-02,Affiliate,0.114754098360656
2023-10-10,Affiliate,0.0450450450450451
2023-10-19,Affiliate,0.00746268656716418
2023-10-22,Affiliate,0.0911037436109959
2023-10-23,Affiliate,0.048
2023-10-24,Affiliate,0.0472972972972973
2023-10-27,Affiliate,0.0188679245283019
2023-10-28,Affiliate,0.0530973451327434
2023-10-30,Affiliate,0.0309278350515464
2023-11-02,Affiliate,0.184
2023-11-03,Affiliate,0.0720720720720721
2023-11-04,Affiliate,0.0725
2023-11-07,Affiliate,0.0663900414937759
2023-11-08,Affiliate,0.0391977546799882
2023-11-10,Affiliate,0.0303030303030303
2023-11-13,Affiliate,0.0443349753694581
2023-11-21,Affiliate,0.0294117647058824
2023-11-22,Affiliate,0.0518134715025907
2023-11-23,Affiliate,0.0675675675675676
2023-11-24,Affiliate,0.139072847682119
2023-11-26,Affiliate,0.06875
2023-12-04,Affiliate,0.0276073619631902
