event_date,channel,roas
2023-01-01,Affiliate,45.3278738246891
2023-01-06,Affiliate,15.0149779735683
2023-01-09,Affiliate,209.186458893068
2023-01-10,Affiliate,80.1717729393468
2023-01-17,Affiliate,37.4980308758664
2023-01-22,Affiliate,51.5453465346535
2023-01-28,Affiliate,54.8084163898117
2023-02-02,Affiliate,96.087456445993
2023-02-04,Affiliate,41.4574688085123
2023-02-07,Affiliate,111.094374555167
2023-02-08,Affiliate,521.175249643367
2023-02-09,Affiliate,2.41027067111606
2023-02-10,Affiliate,170.56721676247
2023-02-13,Affiliate,208.039330543933
2023-02-16,Affiliate,75.1531893520844
2023-02-18,Affiliate,10.9465077956649
2023-02-20,Affiliate,48.2688204855062
2023-02-22,Affiliate,93.3180275642358
2023-03-09,Affiliate,179.342894969109
2023-03-10,Affiliate,33.1978531073446
2023-03-11,Affiliate,91.1683888251053
2023-03-13,Affiliate,249.278624716186
2023-03-18,Affiliate,32.442601194426
2023-03-24,Affiliate,166.151664611591
2023-03-25,Affiliate,12.0103345820953
2023-03-29,Affiliate,102.873814641548
2023-03-30,Affiliate,96.108390204737
2023-04-03,Affiliate,44.3758353093339
2023-04-07,Affiliate,136.691378720493
2023-04-08,Affiliate,95.0939686141048
2023-04-09,Affiliate,36.1738697753767
2023-04-14,Affiliate,63.2708982237562
2023-04-16,Affiliate,176.578051710094
2023-04-21,Affiliate,105.93561332968
2023-04-28,Affiliate,108.198448346264
2023-05-05,Affiliate,86.0331890331891
2023-05-06,Affiliate,75.7731317690423
2023-05-09,Affiliate,149.1009765625
2023-05-11,Affiliate,208.338937352838
2023-05-12,Affiliate,295.003578993499
2023-05-14,Affiliate,85.5868564252826
2023-05-19,Affiliate,64.0144244052346
2023-05-21,Affiliate,99.8188565921762
2023-05-24,Affiliate,37.303640130216
2023-05-25,Affiliate,40.7043611965334
2023-06-02,Affiliate,44.1804043545879
2023-06-16,Affiliate,583.149865229111
2023-06-21,Affiliate,18.9746143958869
2023-06-23,Affiliate,42.7561709813365
2023-06-26,Affiliate,226.023610914746
2023-07-03,Affiliate,46.679596341848
2023-07-04,Affiliate,61.9153505422641
2023-07-10,Affiliate,116.369546712066
2023-07-12,Affiliate,191.141179602196
2023-07-14,Affiliate,74.5015384941902
2023-07-15,Affiliate,268.374459809853
2023-07-16,Affiliate,82.0153414001729
2023-07-17,Affiliate,34.5422353375138
2023-07-24,Affiliate,63.0553123756466
2023-07-31,Affiliate,61.6134476292526
2023-08-03,Affiliate,121.903073675268
2023-08-04,Affiliate,201.945363260484
2023-08-11,Affiliate,74.5259765625
2023-08-14,Affiliate,61.2017654476671
2023-08-18,Affiliate,334.412911273975
2023-08-19,Affiliate,296.709665236986
2023-08-22,Affiliate,20.3935097762761
2023-08-24,Affiliate,115.236428304006
2023-08-26,Affiliate,23.0058090051516
2023-08-27,Affiliate,53.8647802842613
2023-08-31,Affiliate,258.577106548017
2023-09-01,Affiliate,274.688703232837
2023-09-10,Affiliate,236.256568936349
2023-09-15,Affiliate,329.364068064899
2023-09-19,Affiliate,320.648196355523
2023-09-23,Affiliate,551.219294121452
2023-09-24,Affiliate,168.341910677314
2023-09-26,Affiliate,45.3233532934132
2023-09-28,Affiliate,387.515525477707
2023-09-30,Affiliate,41.8792452830189
2023-10-02,Affiliate,82.4113997673517
2023-10-10,Affiliate,89.6877770740976
2023-10-19,Affiliate,18.3569131832797
2023-10-22,Affiliate,60.9030615755074
2023-10-23,Affiliate,82.7662424648359
2023-10-24,Affiliate,10.0549538352273
2023-10-27,Affiliate,12.1569250317662
2023-10-28,Affiliate,26.1298701298701
2023-10-30,Affiliate,18.9254312743461
2023-11-02,Affiliate,219.333991194778
2023-11-03,Affiliate,65.3609054669704
2023-11-04,Affiliate,46.2352198382861
2023-11-07,Affiliate,289.965401249399
2023-11-08,Affiliate,51.274739667563
2023-11-10,Affiliate,88.1440233236152
2023-11-13,Affiliate,26.4667485164723
2023-11-21,Affiliate,67.9398184176394
2023-11-22,Affiliate,30.6960648947187
2023-11-23,Affiliate,35.2851644506648
2023-11-24,Affiliate,202.274409700064
2023-11-26,Affiliate,40.8433474377057
2023-12-04,Affiliate,50.6775791514107
2023-12-10,Affiliate,51.6563695621369
2023-12-16,Affiliate,485.328456819254
2023-12-18,Affiliate,21.8706170154933
2023-12-20,Affiliate,111.326478628466
2023-12-23,Affiliate,63.9282567652612
2023-12-25,Affiliate,31.691571087823
2023-12-26,Affiliate,73.9502597319513
2023-12-28,Affiliate,34.5303383897316
2023-12-31,Affiliate,62.8800344604781
2024-01-03,Affiliate,5.62421909509686
2024-01-04,Affiliate,11.9083642035485
2024-01-08,Affiliate,205.147202183662
2024-01-15,Affiliate,301.395872420263
2024-01-16,Affiliate,80.7527967257845
2024-01-18,Affiliate,29.8150444863845
2024-01-19,Affiliate,35.7460994194485
2024-01-29,Affiliate,253.093064692982
2024-01-30,Affiliate,18.5531069364162
2024-02-01,Affiliate,168.861914301321
2024-02-04,Affiliate,248.912742030946
2024-02-05,Affiliate,63.8964008938497
2024-02-15,Affiliate,639.716312056738
2024-02-18,Affiliate,66.4013203564221
2024-02-19,Affiliate,134.302498615195
2024-02-21,Affiliate,88.937668557617
2024-02-24,Affiliate,383.306598407281
2024-02-27,Affiliate,21.00124750499
2024-03-01,Affiliate,128.607127460842
2024-03-11,Affiliate,23.3711615487316
2024-03-13,Affiliate,124.953022339028
2024-03-16,Affiliate,24.8145795523291
2024-03-18,Affiliate,40.8201842787216
2024-03-21,Affiliate,27.5877327049144
2024-03-23,Affiliate,30.8529309746792
2024-03-29,Affiliate,195.736117592161
2024-03-30,Affiliate,36.770394827349
2024-04-01,Affiliate,36.0637970791699
2024-04-03,Affiliate,389.949053080822
2024-04-06,Affiliate,31.1436198259953
2024-04-07,Affiliate,193.565991289529
2024-04-16,Affiliate,361.374668914038
2024-04-23,Affiliate,23.9349106312636
2024-04-24,Affiliate,59.9171295771455
2024-04-25,Affiliate,359.174877517692
2024-04-26,Affiliate,43.2460348318773
2024-04-27,Affiliate,36.0415832970857
2024-04-29,Affiliate,39.6257755217146
2024-04-30,Affiliate,41.1207444394008
2024-05-04,Affiliate,362.028524724762
2024-05-06,Affiliate,144.663706674305
2024-05-07,Affiliate,57.1946393488633
2024-05-08,Affiliate,185.72275512923
2024-05-12,Affiliate,18.3404174573055
2024-05-13,Affiliate,43.4825191016439
2024-05-18,Affiliate,7.52488687782805
2024-05-21,Affiliate,65.5177677677678
2024-05-22,Affiliate,27.8376107546593
2024-05-23,Affiliate,1085.46429870287
2024-05-25,Affiliate,68.6435322525009
2024-06-04,Affiliate,57.5786560581164
2024-06-05,Affiliate,60.9154817275748
2024-06-06,Affiliate,5.73189152076897
2024-06-07,Affiliate,18.9305986933705
2024-06-08,Affiliate,41.1023728813559
2024-06-09,Affiliate,159.472882490793
2024-06-11,Affiliate,15.3448133635801
2024-06-13,Affiliate,100.464825490927
2024-06-19,Affiliate,127.505761173184
2024-06-20,Affiliate,74.6450194431173
2024-06-23,Affiliate,9.76122964626614
2024-06-27,Affiliate,37.5019222554464
2024-06-30,Affiliate,136.808203125
2024-07-05,Affiliate,48.1671087533157
2024-07-10,Affiliate,86.9930620985011
2024-07-15,Affiliate,102.780024698981
2024-07-17,Affiliate,249.408279249351
2024-07-18,Affiliate,15.6316446219117
2024-07-20,Affiliate,327.291033647615
2024-07-26,Affiliate,187.328343949045
2024-07-27,Affiliate,6.37440662559337
2024-08-02,Affiliate,255.546214852199
2024-08-05,Affiliate,24.0074848367531
2024-08-08,Affiliate,276.301886104858
2024-08-10,Affiliate,100.551305403764
2024-08-11,Affiliate,34.2019357677079
2024-08-14,Affiliate,3.84857142857143
2024-08-15,Affiliate,255.776917663617
2024-08-25,Affiliate,123.606120660203
2024-08-29,Affiliate,1040.87076467321
2024-08-30,Affiliate,415.614473859252
2024-09-15,Affiliate,1235.53353973168
2024-09-16,Affiliate,5.33188955062263
2024-09-17,Affiliate,58.2062084257206
2024-09-21,Affiliate,40.0702479338843
2024-09-23,Affiliate,131.378619839803
2024-09-24,Affiliate,362.048271562215
2024-09-29,Affiliate,34.3243523316062
2024-09-30,Affiliate,783.321151716501
2024-10-03,Affiliate,382.701931922723
2024-10-08,Affiliate,40.065824880977
2024-10-09,Affiliate,105.914910025707
2024-10-12,Affiliate,233.104680987496
2024-10-14,Affiliate,233.223643169058
2024-10-18,Affiliate,46.9641326773528
2024-10-21,Affiliate,46.3854351639828
2024-10-22,Affiliate,206.923111111111
2024-10-25,Affiliate,64.1236203090508
2024-10-27,Affiliate,97.297791531861
2024-11-01,Affiliate,165.370105015213
2024-11-04,Affiliate,664.568209876543
2024-11-11,Affiliate,57.351711026616
2024-11-12,Affiliate,35.8722934158197
2024-11-13,Affiliate,33.6983883346124
2024-11-19,Affiliate,107.202063461164
2024-11-23,Affiliate,32.1070466551238
2024-12-04,Affiliate,30.631880929077
2024-12-06,Affiliate,29.7107008710941
2024-12-12,Affiliate,0
2024-12-17,Affiliate,464.516144178174
2024-12-19,Affiliate,26.0281538792177
2024-12-20,Affiliate,47.4466728762453
2024-12-22,Affiliate,237.938424556213
2024-12-24,Affiliate,52.5650077160494
2024-12-29,Affiliate,31.1151426748108
2025-01-05,Affiliate,3700.62607040913
2025-01-21,Affiliate,62.1783741734734
2025-01-24,Affiliate,438.643787672565
2025-01-26,Affiliate,52.5348330914369
2025-02-01,Affiliate,212.030220249274
2025-02-10,Affiliate,5.90130023640662
2025-02-17,Affiliate,29.7825920614565
2025-02-18,Affiliate,190.523770369263
2025-02-19,Affiliate,6.82463319692584
2025-02-22,Affiliate,25.4410668196157
2025-02-25,Affiliate,51.5791396905147
2025-02-27,Affiliate,12.8206764518188
2025-03-01,Affiliate,118.148112706007
2025-03-04,Affiliate,1262.03142857143
2025-03-05,Affiliate,323.718607068607
2025-03-09,Affiliate,7.19671418216961
2025-03-10,Affiliate,36.892114175133
2025-03-12,Affiliate,237.154722872756
2025-03-13,Affiliate,100.421798029557
2025-03-14,Affiliate,139.687924611002
2025-03-19,Affiliate,449.776317876657
2025-03-20,Affiliate,73.6821218387148
2025-03-22,Affiliate,19.3791404790216
2025-03-29,Affiliate,113.536917169501
2025-03-30,Affiliate,23.740157480315
2025-04-01,Affiliate,407.594251843683
2025-04-06,Affiliate,62.7032803965523
2025-04-13,Affiliate,85.740544612055
2025-04-15,Affiliate,44.9154038098716
2025-04-17,Affiliate,71.6700244774995
2025-04-21,Affiliate,70.0169147496617
2025-04-22,Affiliate,720.012141360121
2025-04-25,Affiliate,10.0481899388811
2025-04-27,Affiliate,386.015892857143
2025-05-02,Affiliate,2.69982765793071
2025-05-04,Affiliate,973.85931254996
2025-05-08,Affiliate,49.422460286116
2025-05-09,Affiliate,12.6588495575221
2025-05-12,Affiliate,379.607575635984
2025-05-13,Affiliate,48.4715139592949
2025-05-14,Affiliate,203.537353709881
2025-05-15,Affiliate,32.9103512880562
2025-05-20,Affiliate,58.0199239543726
2025-05-23,Affiliate,70.0248812675997
2025-05-27,Affiliate,62.7920322920323
2025-05-28,Affiliate,277.233436813811
2025-05-30,Affiliate,73.1159952762105
2025-06-01,Affiliate,200.468100487981
2025-06-02,Affiliate,53.8737785746302
2025-06-05,Affiliate,117.888269354493
2025-06-07,Affiliate,363.4706956083
2025-06-08,Affiliate,25.686867403394
2025-06-14,Affiliate,2042.33873873874
2025-06-25,Affiliate,47.6027377750493
2025-06-26,Affiliate,40.7834721332479
2025-06-27,Affiliate,11.707770273035
2025-06-29,Affiliate,6.29940119760479
2025-06-30,Affiliate,765.768148992779
2025-07-02,Affiliate,46.5646130084091
2025-07-11,Affiliate,108.689205092543
2025-07-13,Affiliate,92.8678168052625
2025-07-16,Affiliate,43.5425314937013
2025-07-19,Affiliate,70.4615618353084
2025-07-21,Affiliate,75.5180563040264
2025-07-27,Affiliate,24.9766125990192
2025-07-28,Affiliate,61.4399744986818
2025-07-30,Affiliate,137.695731337245
2025-08-05,Affiliate,0
2025-08-07,Affiliate,84.0628525382756
2025-08-08,Affiliate,390.504970806375
2025-08-11,Affiliate,125.781669032971
2025-08-14,Affiliate,9.66710013003901
2025-08-16,Affiliate,30.1316130705394
2025-08-17,Affiliate,100.288818306504
2025-08-20,Affiliate,45.9252863612822
2025-08-21,Affiliate,1094.22446577327
2025-08-23,Affiliate,163.400907143757
2025-08-27,Affiliate,74.8619960343688
2025-08-30,Affiliate,125.319219869978
2025-08-31,Affiliate,118.354426433915
2025-09-01,Affiliate,140.513318015488
2025-09-05,Affiliate,51.8131986695288
2025-09-06,Affiliate,406.449003457629
2025-09-10,Affiliate,41.3633428300095
2025-09-13,Affiliate,59.6361176868448
2025-09-17,Affiliate,13.1085379819315
2025-09-18,Affiliate,51.4668815292287
2025-09-22,Affiliate,22.342219466832
2025-09-25,Affiliate,99.0448149508149
2025-09-29,Affiliate,74.3944353518822
2025-09-30,Affiliate,131.365556785032
2025-10-01,Affiliate,144.689221763085
2025-10-03,Affiliate,89.3423920178548
2025-10-04,Affiliate,81.1547306564961
2025-10-07,Affiliate,64.6162918266594
2025-10-10,Affiliate,545.026067029504
2025-10-15,Affiliate,72.0448325320574
2025-10-20,Affiliate,307.968210089841
2025-10-22,Affiliate,18.0816307833257
2025-10-25,Affiliate,98.1561359739172
2025-10-31,Affiliate,99.6653366583541
2025-11-08,Affiliate,43.2402045848936
2025-11-10,Affiliate,68.9586278921093
2025-11-12,Affiliate,197.37532808399
2025-11-13,Affiliate,6.77046922995446
2025-11-14,Affiliate,156.415551728706
2025-11-18,Affiliate,224.152514064698
2025-11-27,Affiliate,18.6050278219396
2025-11-28,Affiliate,26.2398142960058
2025-11-30,Affiliate,445.943110282117
2025-12-03,Affiliate,82.4274844362463
2025-12-08,Affiliate,146.212650169422
2025-12-13,Affiliate,24.4221993038546
2025-12-14,Affiliate,28.7028229154311
2025-12-15,Affiliate,92.5502489241414
2025-12-16,Affiliate,40.9872137778068
2025-12-23,Affiliate,5.17710530585754
2025-12-24,Affiliate,140.656329553344
2025-12-26,Affiliate,31.0765783821658
2025-12-30,Affiliate,31.788704170996
