event_date,channel,ctr
2023-01-01,Affiliate,0.0514085955171705
2023-01-06,Affiliate,0.0172448772570501
2023-01-09,Affiliate,0.0309233449477352
2023-01-10,Affiliate,0.0437782536283607
2023-01-17,Affiliate,0.017875920084122
2023-01-22,Affiliate,0.0216165413533835
2023-01-28,Affiliate,0.0427096853946474
2023-02-02,Affiliate,0.0365104229425232
2023-02-04,Affiliate,0.0197121283007398
2023-02-07,Affiliate,0.0425636972172625
2023-02-08,Affiliate,0.0367456896551724
2023-02-09,Affiliate,0.0471919709587871
2023-02-10,Affiliate,0.0281099223830501
2023-02-13,Affiliate,0.028234938849464
2023-02-16,Affiliate,0.0291576673866091
2023-02-18,Affiliate,0.0410917816436713
2023-02-20,Affiliate,0.0383908072024322
2023-02-22,Affiliate,0.0325051206696945
2023-03-09,Affiliate,0.0468453059673128
2023-03-10,Affiliate,0.0458137347130762
2023-03-11,Affiliate,0.0373636574611279
2023-03-13,Affiliate,0.0362969004893964
2023-03-18,Affiliate,0.0379130434782609
2023-03-24,Affiliate,0.0235332570681484
2023-03-25,Affiliate,0.0187023782036481
2023-03-29,Affiliate,0.0405556800358503
2023-03-30,Affiliate,0.0265901981230448
2023-04-03,Affiliate,0.0233530846985012
2023-04-07,Affiliate,0.0443495587816681
2023-04-08,Affiliate,0.0302178496134926
2023-04-09,Affiliate,0.0221424296828247
2023-04-14,Affiliate,0.0382735018857382
2023-04-16,Affiliate,0.0493533999586706
2023-04-21,Affiliate,0.0494096128629103
2023-04-28,Affiliate,0.0263736263736264
2023-05-05,Affiliate,0.0461851099205616
2023-05-06,Affiliate,0.0328854888099037
2023-05-09,Affiliate,0.0407085675353432
2023-05-11,Affiliate,0.0369022076696178
2023-05-12,Affiliate,0.0362650218015527
2023-05-14,Affiliate,0.0477489768076398
2023-05-19,Affiliate,0.0325086484165753
2023-05-21,Affiliate,0.0347777341198394
2023-05-24,Affiliate,0.01058843950703
2023-05-25,Affiliate,0.0320855614973262
2023-06-02,Affiliate,0.0236669101533966
2023-06-16,Affiliate,0.0600127347978351
2023-06-21,Affiliate,0.0162247034193999
2023-06-23,Affiliate,0.0477381223005228
2023-06-26,Affiliate,0.0500673984209513
2023-07-03,Affiliate,0.0238095238095238
2023-07-04,Affiliate,0.0373994175379857
2023-07-10,Affiliate,0.0273494860499266
2023-07-12,Affiliate,0.0401929536228537
2023-07-14,Affiliate,0.0423256879570326
